Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Cabernet Sauvignon,2020,1,5402,17608302.35,13792238.13
Sucursal Norte,Merlot,2020,1,4198,9684711.65,7004417.85
Sucursal Norte,Pinot Noir,2020,1,3250,12354736.13,9005320.27
Sucursal Norte,Chardonnay,2020,1,4058,10955764.59,8032053.26
Sucursal Norte,Sauvignon Blanc,2020,1,3718,9048145.34,7011262.47
Sucursal Centro,Cabernet Sauvignon,2020,1,4945,14836566.52,10349085.08
Sucursal Centro,Merlot,2020,1,3757,9737326.6,6350930.83
Sucursal Centro,Pinot Noir,2020,1,2921,9311038.97,6884373.08
Sucursal Centro,Chardonnay,2020,1,4696,12073852.8,7830072.84
Sucursal Centro,Sauvignon Blanc,2020,1,3539,9620575.63,6999564.02
Sucursal Sur,Cabernet Sauvignon,2020,1,4580,13000301.66,8497647.88
Sucursal Sur,Merlot,2020,1,3876,9735515.09,7247366.26
Sucursal Sur,Pinot Noir,2020,1,2825,9262571.37,6394367.33
Sucursal Sur,Chardonnay,2020,1,4226,12742500.59,8330219.61
Sucursal Sur,Sauvignon Blanc,2020,1,3400,8257030.94,5594412.18
Sucursal Norte,Cabernet Sauvignon,2020,2,4543,13375246.42,10322590.53
Sucursal Norte,Merlot,2020,2,3795,9875616.34,7484759.1
Sucursal Norte,Pinot Noir,2020,2,2796,9627098.26,6963499.15
Sucursal Norte,Chardonnay,2020,2,4212,12390495.97,8202004.44
Sucursal Norte,Sauvignon Blanc,2020,2,3514,8978120.14,6956046.34
Sucursal Centro,Cabernet Sauvignon,2020,2,5484,16792094.29,10739664.19
Sucursal Centro,Merlot,2020,2,3877,8747035.67,6681324.13
Sucursal Centro,Pinot Noir,2020,2,3135,11694524.96,7267646.97
Sucursal Centro,Chardonnay,2020,2,4188,12542880.34,9496504.64
Sucursal Centro,Sauvignon Blanc,2020,2,3672,9452335.38,5961204.39
Sucursal Sur,Cabernet Sauvignon,2020,2,4770,13297385.31,9431146.96
Sucursal Sur,Merlot,2020,2,4041,9457912.82,6025423.82
Sucursal Sur,Pinot Noir,2020,2,3130,10609628.48,8010028.45
Sucursal Sur,Chardonnay,2020,2,4767,14421180.51,10798224.68
Sucursal Sur,Sauvignon Blanc,2020,2,3385,9636351.47,7207727.71
Sucursal Norte,Cabernet Sauvignon,2020,3,4714,15156002.87,10115578.97
Sucursal Norte,Merlot,2020,3,4367,11568814.79,7648019.95
Sucursal Norte,Pinot Noir,2020,3,2817,9476475.8,6876745.77
Sucursal Norte,Chardonnay,2020,3,4167,10924530.25,7324405.83
Sucursal Norte,Sauvignon Blanc,2020,3,3248,8901564.26,7098446.94
